date,Year,Quarter,Month,Month_Name,Year_Month,actual_net_revenue,seasonal_naive_forecast,moving_average_forecast,holt_winters_forecast,sarima_forecast,best_model,best_model_forecast,forecast_error,forecast_error_pct,ml_benchmark_forecast
2025-07-01,2025,Q3,7,July,2025-07,373404.97,399964.4,424551.22666666674,419409.19313268684,405435.5953200247,Seasonal Naive,399964.4,-26559.43000000005,-0.07112768209807184,417178.9534648016
2025-08-01,2025,Q3,8,August,2025-08,454648.33,372987.42,422792.50888888893,421596.20589899214,364973.66561786406,Seasonal Naive,372987.42,81660.91000000003,0.1796133508287604,422217.98901019956
2025-09-01,2025,Q3,9,September,2025-09,413041.17,411851.11,412127.45851851854,414986.0002267283,424524.1279521821,Seasonal Naive,411851.11,1190.0599999999977,0.00288121399617379,421969.40812918
2025-10-01,2025,Q4,10,October,2025-10,388158.81,399160.1,419823.73135802476,434779.047626406,394877.9011468314,Seasonal Naive,399160.1,-11001.289999999979,-0.028342239610637664,417096.1403293518
2025-11-01,2025,Q4,11,November,2025-11,352684.08,404944.21,418247.8995884774,419932.31007249356,410729.53239188273,Seasonal Naive,404944.21,-52260.130000000005,-0.14817830733953175,423928.90625669295
2025-12-01,2025,Q4,12,December,2025-12,490724.29,456863.41,416733.0298216736,467088.2444972208,459786.5874829422,Seasonal Naive,456863.41,33860.880000000005,0.0690018421545834,437912.56970087247
