portfolio_segment,sku_count,net_revenue,profit,units_sold,avg_profit_margin,avg_marketing_efficiency,revenue_share,profit_share
Margin Improvement,10,6182156.55,1198624.66,1461241,0.20580411999485895,1.8598079050750578,0.4278332717412968,0.36223548683863355
Niche Opportunity,10,3291605.75,990303.7,1091500,0.3037959568736015,3.0047650717148384,0.22779404661063868,0.2992789610115314
Core Growth,5,3266499.52,852734.52,581205,0.2615667796516235,2.534950799094948,0.22605658162813358,0.25770427916634764
Review / Rationalize,5,1709658.1800000002,267302.43,749528,0.1575282233076924,1.3225039262439675,0.11831610001993091,0.08078127298348739
