insight_type,insight
Latest year revenue achievement,2025 revenue achievement reached 96.0%.
Latest year profit achievement,2025 profit achievement reached 94.7%.
Largest negative category variance,Beverages had the largest negative revenue variance against simulated budget.
Top revenue category,Beverages generated the highest net revenue.
Highest margin category,Personal Care delivered the highest profit margin.
Negative profit transaction count,"784 transactions generated negative profit and should be reviewed for pricing, promotion, or cost pressure."
