model,MAE,RMSE,MAPE,model_group
Seasonal Naive,34422.116666666676,43539.31661998538,0.08319077267129314,Time-Series / Baseline
"SARIMA(0,1,1)(0,1,1,12)",38148.41561835245,47558.60749297269,0.09262627040153536,Time-Series / Baseline
Holt-Winters,36417.61511035031,41767.306731214834,0.09325933508564098,Time-Series / Baseline
Random Forest,39687.7399114924,44252.82333191196,0.09905889629287094,ML Benchmark
Moving Average (3M),42522.63173068131,49002.64626317669,0.10458470426105883,Time-Series / Baseline
Gradient Boosting,44309.81043597212,47764.08241939503,0.11091929285388817,ML Benchmark
Ridge Regression,44034.59932159117,52561.73204734092,0.11196090072496163,ML Benchmark
